scene_id,image_id,target_name,target_candidate_count,integrated_candidate_count,candidate_count_difference,target_top_instance,integrated_top_matched_instance,target_top_score,integrated_top_target_score,integrated_top_score,integrated_top_part_id,integrated_top_iou,top1_match,target_top1_in_integrated_top3,integrated_top1_in_target_top3,integrated_top1_in_target_top5,top3_overlap_count,top3_overlap_fraction,top5_overlap_count,top5_overlap_fraction,predicted_rank_of_target_top,reciprocal_rank,ndcg_at_3,ndcg_at_5,regret,false_positive_count_at_iou_threshold,missed_target_count_at_iou_threshold,mean_matched_iou_at_threshold,median_matched_iou_at_threshold
000000,000000,heuristic_dataset_masks,31,34,3,7,22,0.9652017105744303,0.9542716991930026,0.9507247805595398,16,0.7737494263423589,0,1,1,1,2,0.6666666666666666,2,0.4,2,0.5,0.9896139916391562,0.9794467273656585,0.010930011381427684,5,2,0.7526542421009288,0.7600428494911623
000000,000000,known_mask_ranker,31,34,3,7,22,0.9616783857345581,0.9594211578369141,0.9507247805595398,16,0.7737494263423589,0,1,1,1,2,0.6666666666666666,3,0.6,2,0.5,0.9963291934366937,0.9870156307277416,0.002257227897644043,5,2,0.7526542421009288,0.7600428494911623
000000,000001,heuristic_dataset_masks,31,34,3,11,3,0.9731517127594002,0.9401420126222756,0.9454750418663025,16,0.7944723618090452,0,0,0,1,1,0.3333333333333333,4,0.8,7,0.14285714285714285,0.967570158816953,0.9772565440060933,0.033009700137124565,2,0,0.750272214588671,0.774551563202879
000000,000001,known_mask_ranker,31,34,3,16,3,0.9485172629356384,0.9460083842277527,0.9454750418663025,16,0.7944723618090452,0,1,1,1,2,0.6666666666666666,4,0.8,3,0.3333333333333333,0.9761466571854637,0.9839941009255133,0.002508878707885742,2,0,0.750272214588671,0.774551563202879
000000,000002,heuristic_dataset_masks,31,32,1,18,2,0.9854000703594367,0.934128470730359,0.9349417686462402,16,0.7836287799791449,0,1,0,1,1,0.3333333333333333,2,0.4,3,0.3333333333333333,0.9718862884458614,0.9754072809322047,0.05127159962907768,2,1,0.7581154267358662,0.7636734736605636
000000,000002,known_mask_ranker,31,32,1,18,2,0.949253499507904,0.9403041005134583,0.9349417686462402,16,0.7836287799791449,0,1,0,1,1,0.3333333333333333,3,0.6,3,0.3333333333333333,0.9956195873981982,0.9924349809129168,0.0089493989944458,2,1,0.7581154267358662,0.7636734736605636
000000,000003,heuristic_dataset_masks,31,32,1,6,10,0.9674727070377018,0.9360183855792614,0.9424475431442261,16,0.8263852242744063,0,0,1,1,2,0.6666666666666666,4,0.8,5,0.2,0.984336686689647,0.9864239044501845,0.031454321458440404,2,1,0.7467384728465967,0.7653498555069411
000000,000003,known_mask_ranker,31,32,1,6,10,0.9553783535957336,0.947345495223999,0.9424475431442261,16,0.8263852242744063,0,0,0,1,2,0.6666666666666666,4,0.8,5,0.2,0.9960401146212474,0.9944215145546648,0.00803285837173462,2,1,0.7467384728465967,0.7653498555069411
000000,000004,heuristic_dataset_masks,31,31,0,8,8,0.9753050183974687,0.9753050183974687,0.9212674498558044,16,0.7736035590706871,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9946425093665129,0.9902013666082193,0.0,0,0,0.741074122379252,0.7619731800766284
000000,000004,known_mask_ranker,31,31,0,8,8,0.9485986828804016,0.9485986828804016,0.9212674498558044,16,0.7736035590706871,1,1,1,1,2,0.6666666666666666,5,1.0,1,1.0,0.9978326480258618,0.999746887941459,0.0,0,0,0.741074122379252,0.7619731800766284
000000,000005,heuristic_dataset_masks,31,33,2,18,1,0.9785851074811244,0.9485459249340487,0.9395178556442261,16,0.7673019057171514,0,0,0,1,1,0.3333333333333333,4,0.8,5,0.2,0.9743557963171762,0.9867204065743403,0.030039182547075716,2,1,0.7518534583069688,0.7673019057171514
000000,000005,known_mask_ranker,31,33,2,18,1,0.9540148973464966,0.9515071511268616,0.9395178556442261,16,0.7673019057171514,0,0,0,1,1,0.3333333333333333,4,0.8,5,0.2,0.9973147147401423,0.9986056885932006,0.0025077462196350098,2,1,0.7518534583069688,0.7673019057171514
000000,000006,heuristic_dataset_masks,31,32,1,6,3,0.9564065574959653,0.9420477663975395,0.9316822290420532,16,0.8003003003003003,0,0,1,1,1,0.3333333333333333,4,0.8,6,0.16666666666666666,0.9845556760482665,0.9895342737548362,0.01435879109842575,2,1,0.7516451532224723,0.746368811490066
000000,000006,known_mask_ranker,31,32,1,6,3,0.9452721476554871,0.9375660419464111,0.9316822290420532,16,0.8003003003003003,0,0,0,1,1,0.3333333333333333,2,0.4,6,0.16666666666666666,0.9938081257023419,0.9943682325855303,0.007706105709075928,2,1,0.7516451532224723,0.746368811490066
000000,000007,heuristic_dataset_masks,31,34,3,18,8,0.9806370385377722,0.9407923925157468,0.9158158898353577,16,0.7788795240456123,0,1,0,1,1,0.3333333333333333,3,0.6,2,0.5,0.9807674629159991,0.9826914017483677,0.03984464602202542,3,0,0.7478628400167131,0.7625127681307456
000000,000007,known_mask_ranker,31,34,3,18,8,0.9400752186775208,0.937597393989563,0.9158158898353577,16,0.7788795240456123,0,1,1,1,2,0.6666666666666666,3,0.6,2,0.5,0.9961027432675611,0.9974141906580387,0.0024778246879577637,3,0,0.7478628400167131,0.7625127681307456
000000,000008,heuristic_dataset_masks,31,32,1,1,1,0.9626756096425108,0.9626756096425108,0.936092734336853,16,0.768920282542886,1,1,1,1,2,0.6666666666666666,3,0.6,1,1.0,0.9943210401988897,0.9865157049492254,0.0,2,1,0.760364653514556,0.7734613113760034
000000,000008,known_mask_ranker,31,32,1,1,1,0.9531856775283813,0.9531856775283813,0.936092734336853,16,0.768920282542886,1,1,1,1,2,0.6666666666666666,3,0.6,1,1.0,0.9993834463288251,0.9907649842717722,0.0,2,1,0.760364653514556,0.7734613113760034
000000,000009,heuristic_dataset_masks,31,33,2,11,3,0.9698589112249696,0.900318833135711,0.9136166572570801,16,0.7779448621553885,0,0,0,0,2,0.6666666666666666,3,0.6,7,0.14285714285714285,0.9660398656189748,0.9727928338823051,0.06954007808925855,1,0,0.7401065535383686,0.7535341176309979
000000,000009,known_mask_ranker,31,33,2,16,3,0.9465529918670654,0.9206668138504028,0.9136166572570801,16,0.7779448621553885,0,1,0,0,2,0.6666666666666666,3,0.6,2,0.5,0.9894468640843675,0.9915264805897464,0.025886178016662598,1,0,0.7401065535383686,0.7535341176309979
